index,ingredient,spicy,sweet,umami,sour,salty
1,Salt,0,0,0,0,1
2,Sugar,0,1,0,0,0
3,Black Pepper,0.7,0,0,0,0
4,Cayenne Pepper,0.95,0,0,0,0
5,Chili Powder,0.8,0,0,0,0
6,Paprika,0.3,0.2,0,0,0
7,Garlic,0.1,0.1,0.5,0,0
8,Onion,0.1,0.3,0.4,0,0
9,Ginger,0.6,0.2,0,0,0
10,Tomato,0,0.4,0.7,0.3,0
11,Lemon,0,0.1,0,0.95,0
12,Lime,0,0.1,0,0.95,0
13,Vinegar,0,0,0,0.9,0
14,Soy Sauce,0,0.1,0.9,0.1,0.9
15,Fish Sauce,0,0,0.95,0.2,0.9
16,Parmesan Cheese,0,0,0.9,0,0.7
17,Mushrooms,0,0.1,0.8,0,0.1
18,Anchovies,0,0,0.95,0.1,0.9
19,Miso Paste,0,0.2,0.9,0.1,0.8
20,Seaweed,0,0,0.85,0,0.8
21,Bacon,0,0.2,0.7,0,0.8
22,Beef,0,0.1,0.7,0,0.2
23,Chicken,0,0,0.5,0,0.1
24,Pork,0,0.2,0.6,0,0.1
25,Salmon,0,0.1,0.6,0,0.3
26,Shrimp,0,0.3,0.6,0,0.3
27,Butter,0,0.1,0.3,0,0.2
28,Cream,0,0.2,0.2,0,0.1
29,Yogurt,0,0.3,0.2,0.4,0.1
30,Cheddar Cheese,0,0,0.6,0,0.6
31,Honey,0,0.95,0,0,0
32,Maple Syrup,0,0.9,0,0,0
33,Basil,0,0.1,0,0,0
34,Cilantro,0,0,0,0.1,0
35,Mint,0,0.2,0,0,0
36,Rosemary,0,0,0,0,0
37,Thyme,0,0,0.1,0,0
38,Oregano,0,0,0.1,0,0
39,Cumin,0.3,0,0.2,0,0
40,Coriander,0.2,0.2,0,0,0
41,Cinnamon,0.1,0.4,0,0,0
42,Nutmeg,0.1,0.3,0,0,0
43,Vanilla,0,0.7,0,0,0
44,Chocolate,0.1,0.6,0.1,0.1,0
45,Coffee,0,0.1,0.3,0.3,0
46,Apple,0,0.8,0,0.2,0
47,Banana,0,0.85,0,0,0
48,Orange,0,0.7,0,0.4,0
49,Strawberry,0,0.8,0,0.2,0
50,Blueberry,0,0.7,0,0.3,0
51,Mango,0,0.9,0.1,0.1,0
52,Pineapple,0,0.8,0,0.5,0
53,Coconut,0,0.5,0.1,0,0.1
54,Avocado,0,0,0.4,0,0
55,Potato,0,0.1,0.2,0,0
56,Carrot,0,0.5,0.1,0,0
57,Broccoli,0,0.1,0.2,0,0
58,Spinach,0,0,0.3,0,0.1
59,Kale,0,0,0.2,0.1,0
60,Bell Pepper,0,0.4,0.1,0,0
61,Jalapeño,0.8,0,0,0,0
62,Corn,0,0.6,0.2,0,0
63,Peas,0,0.5,0.3,0,0
64,Rice,0,0.1,0.1,0,0
65,Pasta,0,0.1,0.1,0,0
66,Bread,0,0.2,0.1,0,0.2
67,Oats,0,0.2,0.1,0,0
68,Quinoa,0,0.1,0.2,0,0
69,Beans,0,0.1,0.4,0,0
70,Lentils,0,0.1,0.4,0,0
71,Chickpeas,0,0.2,0.4,0,0
72,Peanuts,0,0.1,0.3,0,0.2
73,Almonds,0,0.2,0.2,0,0.1
74,Cashews,0,0.3,0.2,0,0.1
75,Olive Oil,0,0,0.1,0,0
76,Sesame Oil,0,0.1,0.3,0,0
77,Mustard,0.4,0.1,0.1,0.5,0.3
78,Mayonnaise,0,0.2,0.2,0.2,0.3
79,Ketchup,0,0.7,0.4,0.4,0.5
80,Hot Sauce,0.9,0.1,0.1,0.5,0.5
81,Worcestershire Sauce,0,0.3,0.8,0.4,0.7
82,Balsamic Vinegar,0,0.4,0.2,0.7,0
83,Rice Vinegar,0,0.2,0,0.6,0
84,Tahini,0,0.1,0.3,0.1,0.1
85,Pesto,0,0,0.5,0.1,0.4
86,Sriracha,0.85,0.3,0.2,0.3,0.4
87,Wasabi,0.9,0,0,0,0
88,Horseradish,0.8,0,0,0.1,0
89,Capers,0,0,0.3,0.6,0.9
90,Olives,0,0,0.4,0.2,0.8
91,Pickles,0,0.1,0.1,0.8,0.6
92,Kimchi,0.6,0.1,0.5,0.7,0.6
93,Sauerkraut,0,0,0.2,0.8,0.5
94,Tamarind,0,0.4,0.1,0.8,0.1
95,Pomegranate,0,0.6,0.1,0.4,0
96,Dates,0,0.95,0,0,0
97,Figs,0,0.85,0,0,0
98,Prunes,0,0.8,0.1,0.2,0
99,Raisins,0,0.9,0.1,0,0
100,Cranberries,0,0.5,0,0.7,0
101,Cherries,0,0.8,0,0.2,0
102,Peach,0,0.8,0,0.2,0
103,Plum,0,0.7,0,0.3,0
104,Apricot,0,0.8,0,0.2,0
105,Pear,0,0.7,0,0.1,0
106,Grape,0,0.8,0,0.2,0
107,Watermelon,0,0.8,0,0,0
108,Cantaloupe,0,0.8,0,0,0
109,Honeydew,0,0.75,0,0,0
110,Kiwi,0,0.6,0,0.5,0
111,Papaya,0,0.7,0,0.1,0
112,Guava,0,0.7,0,0.2,0
113,Dragon Fruit,0,0.5,0,0,0
